,image,DICE,challenge_FP,challenge_FN
0,PETCT_92c5c944a5_07152002.nii.gz,0.7068589817594089,0.0,1.483
1,PETCT_9ffd8409b3_07152005.nii.gz,0.8279982927870252,0.0,0.155
2,PETCT_f8de0cde56_12052005.nii.gz,,0.0,0.0
3,PETCT_f60ea3abc5_05032003.nii.gz,0.8743980550750385,0.0,0.131
4,PETCT_b7c1533a39_02122005.nii.gz,0.8864995602462621,0.967,0.161
5,PETCT_82137245b0_01262002.nii.gz,0.7383351517874334,0.20400000000000001,0.001
6,PETCT_ccd8f5ff71_10292006.nii.gz,0.0,3.9650000000000003,0.0
7,PETCT_9860ffe82d_11192004.nii.gz,0.0,0.158,0.0
8,PETCT_cb240e6f0f_04192007.nii.gz,,0.0,0.0
9,PETCT_d3208ff062_03142003.nii.gz,,0.0,0.0
10,PETCT_b3e923029c_07192003.nii.gz,,0.0,0.0
11,PETCT_a2676f03c0_05092003.nii.gz,,0.0,0.0
12,PETCT_27ad42f8a9_07142002.nii.gz,0.8158757303691037,0.069,0.0
13,PETCT_19b68a666b_04142005.nii.gz,0.6751521751813462,0.078,29.767
14,PETCT_94cc0dac49_03092007.nii.gz,0.0,0.0,0.084
15,PETCT_f11f3d3692_10242003.nii.gz,0.7219810258884065,0.12,0.863
16,PETCT_d6a48a629d_03062003.nii.gz,,0.0,0.0
17,PETCT_b327726c24_08272000.nii.gz,0.8200484174661526,0.6960000000000001,0.015
18,PETCT_12025abab5_11012004.nii.gz,0.7621052631578947,0.0,0.154
19,PETCT_9f206193d3_04072003.nii.gz,0.9534599856029545,0.034,0.074
20,PETCT_8838c53a63_05222005.nii.gz,,0.0,0.0
21,PETCT_6aea5c3a03_12272001.nii.gz,0.4607035175879397,0.017,2.301
22,PETCT_db3daf78d2_10302000.nii.gz,0.9205880284166843,0.048,0.0
23,PETCT_7ed037687a_01272003.nii.gz,0.8443557582668187,0.0,0.019
24,PETCT_f75d25523c_09132002.nii.gz,,0.0,0.0
25,PETCT_3c3ee87fc6_06132003.nii.gz,0.034623614082863255,4.783,0.163
26,PETCT_d206b891ee_10272005.nii.gz,0.607400529505502,13.519,6.992
27,PETCT_4076ea9a15_04292005.nii.gz,0.0,0.0,0.319
28,PETCT_cc1698663a_10152004.nii.gz,0.0,2.501,0.0
29,PETCT_380f71df1e_08192001.nii.gz,0.8036353898168915,0.06,1.375
30,PETCT_e344879c2e_03082007.nii.gz,0.0,0.056,0.0
31,PETCT_86153b2974_04032005.nii.gz,0.0,0.07100000000000001,0.0
32,PETCT_7faf36a152_06142002.nii.gz,0.9170445452120566,0.0,0.0
